player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
OG Anunoby,NY,7.1,1.1,88,,22,highest_value
Brook Lopez,LAC,4.3,3.0,11,,21.7,highest_value
Tyler Herro,,6.6,0.8,16,,18.4,highest_value
Luka Dončić,,8.3,,3300,,16.7,highest_value
Amen Thompson,HOU,5.9,0.6,170,,15.9,highest_value
Luke Kennard,,3,3.0,32,,15.2,highest_value
Kon Knueppel,CHA,5,0.8,905,,14.1,highest_value
Grant Williams,,2.9,2.8,1,,14.1,highest_value
Jordan Miller,,3,2.5,3,,13.4,highest_value
Toumani Camara,POR,3.7,1.6,37,,13.3,highest_value
Brandon Miller,CHA,4.7,0.8,134,,13.1,highest_value
Jay Huff,IND,3.2,2.0,66,,12.9,highest_value
Julian Champagnie,,3.3,1.9,16,,12.7,highest_value
