player_name,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Scoot Henderson,5.3,2.5,4,,24,highest_value
Daniel Gafford,4.8,2.3,2,,20.5,highest_value
Malik Monk,5,2.1,1,,20.5,highest_value
Collin Sexton,4.9,1.9,73,,18.9,highest_value
Maxime Raynaud,4.4,2.1,255,,18,highest_value
Paolo Banchero,6.3,0.6,152,,16.3,highest_value
Baylor Scheierman,3.2,3.0,2,,16,highest_value
Russell Westbrook,5,1.1,85,,15.5,highest_value
RJ Barrett,4.9,1.0,9,,14.6,highest_value
Jakob Poeltl,4,1.6,17,,14.5,highest_value
Dylan Harper,3.8,1.7,6,,13.9,highest_value
Jalen Green,3.1,2.1,281,,12.5,highest_value
Victor Wembanyama,5.4,0.3,2500,,12.4,highest_value
