player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Tre Jones,SAS,6.6,1.4,5,1,22.4,highest_value
Bones Hyland,LAC,4.0,3.0,29,1,20.0,highest_value
Peyton Watson,DEN,5.4,1.6,416,1,19.5,highest_value
Bam Adebayo,MIA,6.5,0.9,16,1,18.9,highest_value
De'Anthony Melton,GSW,3.7,2.5,13,1,16.6,highest_value
Gui Santos,GSW,3.1,3.0,1,1,15.6,highest_value
Marcus Smart,MEM,3.2,2.6,3,1,14.7,highest_value
Jamal Murray,DEN,6.4,0.2,204,1,14.1,highest_value
Jaime Jaquez Jr.,MIA,4.3,1.2,9,1,13.9,highest_value
Julius Randle,MIN,5.5,0.5,543,1,13.8,highest_value
Joan Beringer,SAS,2.7,3.0,7,1,13.7,highest_value
LeBron James,LAL,5.4,0.5,113,1,13.5,highest_value
Jaylin Williams,OKC,3.0,3.0,4,4,13.4,highest_value
Jalen Pickett,IND,2.6,3.0,25,1,13.1,highest_value
