player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Cristopher Sánchez,PHI,6.8,,315,1,13.6,highest_value
Tarik Skubal,DET,6.0,,2800,1,12.1,highest_value
Trevor Rogers,BAL,5.9,,83,1,11.8,highest_value
Garrett Crochet,BOS,5.8,,907,1,11.6,highest_value
Joe Ryan,MIN,5.6,,43,1,11.1,highest_value
José Soriano,LAA,5.6,,15,1,11.1,highest_value
Chase DeLauter,CLE,5.3,,13,1,10.6,highest_value
Andy Pages,LAD,5.3,,1,1,10.6,highest_value
Brandon Lowe,PIT,5.1,,3,1,10.2,highest_value
Alec Burleson,STL,5.0,,2,1,10.1,highest_value
Kevin McGonigle,,4.9,,8,1,9.8,highest_value
Andrew Abbott,CIN,4.6,,27,1,9.2,highest_value
Dominic Canzone,,4.3,,2,1,8.6,highest_value
Jacob Misiorowski,MIL,4.2,,193,1,8.4,highest_value
