player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
John Collins,UTA,4.9,1.8,31,1,18.5,highest_value
Jarace Walker,IND,3.6,3.0,2,2,17.2,highest_value
Andrew Nembhard,IND,5.7,0.9,14,1,16.7,highest_value
Tre Mann,CHA,3.2,3.0,21,1,15.9,highest_value
Ayo Dosunmu,CHI,4.4,1.5,107,1,15.6,highest_value
Tolu Smith,MEM,2.9,3.0,1,2,14.0,highest_value
Derrick White,BOS,5.1,0.6,390,1,13.7,highest_value
Naz Reid,MIN,4.1,1.2,39,1,13.1,highest_value
Bones Hyland,LAC,2.6,3.0,6,1,13.0,highest_value
Jaylon Tyson,CLE,3.7,1.4,4,1,12.4,highest_value
Paul Reed,PHI,2.5,3.0,73,1,12.4,highest_value
Josh Green,CHA,2.5,3.0,1,1,12.4,highest_value
Ron Holland II,DET,2.4,3.0,10,1,12.0,highest_value
Kevin Huerter,SAC,3.2,1.9,1,2,11.8,highest_value
