player_name,team,actual_rs,drafts,total_value,source
Quenton Jackson,NYK,3.0,2,28.2,highest_value
Aaron Nesmith,BOS,2.8,39,20.4,highest_value
Jalen Duran,MEM,2.7,164,20.2,highest_value
Mikal Bridges,BKN,2.6,36,18.6,highest_value
OG Anunoby,TOR,2.5,6,18.5,highest_value
Rudy Gobert,MIN,2.3,98,17.1,highest_value
Grayson Allen,MEM,2.1,186,17.1,highest_value
D'Angelo Russell,LAL,1.7,31,17.0,highest_value
Kyle Kuzma,WAS,1.7,3,14.9,highest_value
AJ Green,GSW,1.6,6,14.7,highest_value
Donovan Mitchell,CLE,1.6,40,14.7,highest_value
Tre Mann,OKC,1.6,1,14.3,highest_value
Max Christie,LAL,1.5,78,13.9,highest_value
Russell Westbrook,LAC,1.5,64,12.8,highest_value
Dennis Schroder,TOR,1.5,17,12.5,highest_value
