player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Coby White,CHA,5.4,1.2,94,1,17.2,highest_value
Deveon Carter,SAC,3,3.0,2,1,15.0,highest_value
Royce O'Neale,CHI,3.8,1.9,73,1,14.7,highest_value
Jamal Cain,IND,2.8,3.0,1,1,13.8,highest_value
Moussa Diabaté,HOU,3.7,1.6,42,1,13.4,highest_value
Nikola Jokić,DEN,6.6,,9500,1,13.1,highest_value
Jeremiah Fears,CHA,3.2,2.0,74,1,12.9,highest_value
Devin Carter,SAC,2.6,3.0,45,1,12.8,highest_value
Oso Ighodaro,PHX,2.7,2.7,133,1,12.7,highest_value
Donovan Mitchell,CLE,5.6,0.2,761,1,12.3,highest_value
Paolo Banchero,ORL,4.7,0.6,469,1,12.3,highest_value
OG Anunoby,TOR,4.1,1.0,78,1,12.2,highest_value
Jordan Clarkson,UTH,2.4,3.0,10,1,12.1,highest_value
Jalen Green,HOU,3.5,1.3,386,1,12.0,highest_value
James Harden,LAC,5,0.3,778,1,11.8,highest_value
Malik Monk,PHX,2.9,2.0,147,1,11.8,highest_value
LaMelo Ball,CHA,4.4,0.6,1000,1,11.6,highest_value
