player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Jock Landale,,6.4,1.7,4,,23.6,highest_value
Will Riley,,4.3,3.0,7,,21.3,highest_value
Isaiah Collier,,5.3,1.7,442,,19.5,highest_value
Guerschon Yabusele,,3.7,3.0,1,,18.3,highest_value
Daniel Gafford,,4.1,2.4,75,,18.2,highest_value
Pat Spencer,,3.4,3.0,13,,16.9,highest_value
Brandon Ingram,,6.2,0.7,351,,16.7,highest_value
Gui Santos,,3.3,3.0,39,,16.7,highest_value
Jaden Ivey,,3.3,3.0,42,,16.5,highest_value
Jalen Suggs,,5.0,1.2,113,,16.1,highest_value
Collin Murray-Boyles,,3.7,2.3,31,,16.1,highest_value
Gary Payton II,,3.2,3.0,2,,15.8,highest_value
Victor Wembanyama,,6.5,0.3,1700,,15.5,highest_value
