player_name,team,actual_rs,drafts,total_value,source
Victor Wembanyama,SAS,6.9,2900,13.8,highest_value
Tyrese Maxey,PHI,6.9,144,13.8,highest_value
DeMar DeRozan,CHI,6.4,528,12.8,highest_value
Giannis Antetokounmpo,MIL,6.2,16200,12.4,highest_value
Nikola Vucevic,CHI,5.4,41,10.9,highest_value
Walker Kessler,UTA,5.4,2,10.9,highest_value
Zion Williamson,NOP,5.2,88,10.4,highest_value
Jerami Grant,POR,4.9,28,9.8,highest_value
VJ Edgecombe,NOP,4.8,82,9.7,highest_value
Davion Mitchell,SAC,4.8,8,9.6,highest_value
Mikal Bridges,BKN,4.7,13,9.4,highest_value
Donovan Mitchell,CLE,4.7,552,9.3,highest_value
Franz Wagner,ORL,4.6,47,9.2,highest_value
