player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Jaylin Williams,OKC,4.1,2.7,39,,19.3,highest_value
Maxime Raynaud,SAC,4.2,2.2,110,,17.6,highest_value
Guerschon Yabusele,CHI,3.4,3.0,13,,16.8,highest_value
Oso Ighodaro,PHX,3.3,3.0,11,,16.6,highest_value
Precious Achiuwa,SAC,3.7,2.4,52,,16.1,highest_value
Marcus Smart,LAL,3.4,2.5,1,,15.3,highest_value
Aaron Wiggins,OKC,3.4,2.4,5,,14.9,highest_value
Jared McCain,OKC,3.0,3.0,84,,14.8,highest_value
Anthony Edwards,MIN,6.2,0.3,1300,,14.3,highest_value
Paolo Banchero,ORL,5.4,0.6,82,,14.0,highest_value
Bam Adebayo,MIA,5.2,0.7,95,,13.9,highest_value
Ausar Thompson,DET,4.0,1.5,5,,13.9,highest_value
Will Riley,WSH,2.7,3.0,19,,13.6,highest_value
