player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Luke Kornet,BOS,5.6,1.6,8,1,20.2,highest_value
Sandro Mamukelashvili,SAS,4.8,2.0,7,1,19.4,highest_value
Max Christie,LAL,4.6,2.2,6,1,19.3,highest_value
Jaylen Brown,BOS,8.2,0.3,1200,1,18.9,highest_value
Donovan Clingan,POR,5.7,1.2,23,1,18.4,highest_value
Dyson Daniels,ATL,5.7,1.1,60,1,17.6,highest_value
Derrick Jones Jr.,LAC,3.7,2.3,4,1,15.9,highest_value
Naz Reid,MIN,5.0,1.2,13,1,15.9,highest_value
Nikola Vucevic,BOS,5.7,0.8,32,1,15.9,highest_value
John Collins,UTA,3.9,2.0,32,1,15.7,highest_value
Jordan Walsh,BOS,3.4,2.5,12,1,15.3,highest_value
Julian Champagnie,TOR,3.7,2.1,18,1,15.2,highest_value
Derrick White,BOS,5.5,0.7,377,1,14.8,highest_value
VJ Edgecombe,PHI,5.1,0.9,149,1,14.8,highest_value
