player_name,team,actual_rs,drafts,total_value,source
Luka Doncic,DAL,7,12500,13.9,highest_value
Alperen Sengun,HOU,6.2,969,12.4,highest_value
Shai Gilgeous-Alexander,OKC,5.7,11000,11.4,highest_value
Chet Holmgren,OKC,4.3,55,8.6,highest_value
Jimmy Butler III,MIA,4.2,740,8.4,highest_value
Austin Reaves,LAL,3.8,992,7.6,highest_value
Stephen Curry,GS,3.7,5300,7.4,highest_value
Jonathan Kuminga,GS,3.2,136,6.5,highest_value
Cason Wallace,OKC,3.2,104,6.5,highest_value
Draymond Green,GS,2.7,244,5.4,highest_value
Amen Thompson,HOU,2.7,1100,5.3,highest_value
Ajay Mitchell,OKC,2.6,2,5.3,highest_value
Kevin Durant,PHO,2.6,2700,5.1,highest_value
Isaiah Hartenstein,LAL,2.4,167,4.9,highest_value
