player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Jabari Smith Jr.,HOU,6.4,1.2,407,,20.4,highest_value
Javon Small,MEM,4.2,2.7,5,,19.7,highest_value
Devin Vassell,SAS,5.3,1.6,20,,19.1,highest_value
Precious Achiuwa,SAC,4.0,2.7,18,,18.8,highest_value
Nique Clifford,SAC,3.2,3.0,95,,15.8,highest_value
Ron Holland II,DET,3.1,3.0,18,,15.6,highest_value
Brice Sensabaugh,UTA,3.3,2.4,169,,14.6,highest_value
Victor Wembanyama,SAS,5.6,0.3,5000,,12.8,highest_value
Daeqwon Plowden,SAC,2.5,3.0,1,,12.5,highest_value
Jalen Duren,DET,4.6,0.7,590,,12.3,highest_value
Olivier-Maxence Prosper,MEM,2.5,3.0,47,,12.3,highest_value
Julian Champagnie,SAS,3.0,2.0,69,,12.0,highest_value
Rayan Rupert,MEM,2.4,3.0,3,,11.8,highest_value
