player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Brook Lopez,MIL,4.5,3.0,27,1,22.6,highest_value
Pelle Larsson,UTA,4.4,2.5,1,1,20.0,highest_value
Sam Hauser,BOS,3.8,3.0,3,1,19.2,highest_value
Keyonte George,UTA,6.6,0.5,479,1,16.6,highest_value
Bilal Coulibaly,WAS,3.3,2.4,2,1,14.6,highest_value
Luka Garza,BOS,2.8,3.0,5,1,14.2,highest_value
Jusuf Nurkic,PHX,3.8,1.6,24,1,13.7,highest_value
Payton Pritchard,BOS,4.9,0.8,45,1,13.6,highest_value
Sandro Mamukelashvili,MIL,3.3,2.1,29,1,13.5,highest_value
Cade Cunningham,DET,6.1,0.2,2900,1,13.5,highest_value
Bub Carrington,WAS,2.8,2.7,9,1,13.3,highest_value
AJ Green,MIL,2.9,2.5,5,1,13.1,highest_value
Jordan Poole,WAS,3.6,1.6,7,1,12.8,highest_value
Mark Williams,CHA,4.0,1.2,3,1,12.8,highest_value
