player_name,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Paul George,6.1,1.1,3,,18.8,highest_value
Khris Middleton,3.9,2.4,1,,17.0,highest_value
Mark Williams,4.9,1.4,19,,16.7,highest_value
Jared McCain,3.3,3.0,13,,16.5,highest_value
Myles Turner,4.6,1.5,28,,16.2,highest_value
Alexandre Sarr,5.7,0.8,67,,16.0,highest_value
Michael Porter Jr.,6.2,0.5,657,,15.4,highest_value
Shaedon Sharpe,4.7,1.0,128,,14.0,highest_value
Bobby Portis,3.8,1.6,212,,13.8,highest_value
Chet Holmgren,5.1,0.7,442,,13.7,highest_value
Bruce Brown,2.8,2.7,2,,13.2,highest_value
Tobias Harris,3.5,1.7,1,,13.1,highest_value
Kyshawn George,4.1,1.1,73,,12.7,highest_value
