player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Jeremiah Fears,OKC,5.9,1.9,104,1,23.1,highest_value
Jordan Hawkins,CHA,4.8,3.0,4,4,21.3,highest_value
Patrick Williams,CHI,4.0,3.0,2,1,20.1,highest_value
Jordan Poole,WSH,4.9,1.9,2,1,19.2,highest_value
John Konchar,MEM,4.0,3.0,3,2,19.1,highest_value
Bez Mbeng,MEM,3.8,3.0,1,2,18.3,highest_value
Rob Dillingham,MIN,3.7,3.0,13,1,18.3,highest_value
Bones Hyland,LAC,3.8,2.8,91,1,18.1,highest_value
Kennedy Chandler,MEM,4.5,1.9,3,2,16.7,highest_value
E.J. Liddell,NO,3.3,3.0,2,1,16.4,highest_value
AJ Green,MIL,3.3,2.9,41,1,16.3,highest_value
Micah Peavy,HOU,3.2,3.0,3,1,16.2,highest_value
Charles Bassey,HOU,3.2,3.0,1,1,16.1,highest_value
Brook Lopez,MIL,3.2,2.8,7,1,15.6,highest_value
Marvin Bagley III,,3.8,2.0,4,1,15.0,highest_value
De'Anthony Melton,,3.9,1.8,2,1,15.0,highest_value
Jericho Sims,TOR,2.9,3.0,25,1,14.6,highest_value
