player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Leonard Miller,CHI,4.9,3.0,159,1,24.5,highest_value
Baylor Scheierman,BOS,3.9,3.0,8,1,19.6,highest_value
Will Riley,WSH,3.9,3.0,839,1,19.6,highest_value
Luke Kennard,LAL,3.7,3.0,616,1,18.7,highest_value
Obi Toppin,IND,4.3,2.3,48,1,18.4,highest_value
Jake LaRavia,MEM,3.9,2.5,110,1,17.8,highest_value
Micah Potter,IND,3.6,2.6,267,1,16.4,highest_value
Patrick Williams,CHI,3.2,3.0,32,1,15.8,highest_value
E.J. Liddell,NO,3.1,3.0,95,1,15.6,highest_value
Brandon Ingram,TOR,5.5,0.8,387,1,15.5,highest_value
LeBron James,LAL,6.1,0.5,3500,1,15.3,highest_value
Collin Murray-Boyles,TOR,3.6,2.2,27,1,15.0,highest_value
Ethan Thompson,SAC,3.0,3.0,10,1,14.9,highest_value
Tre Jones,CHI,4.7,1.1,370,1,14.7,highest_value
Collin Sexton,CHI,3.8,1.7,297,1,14.0,highest_value
Jay Huff,IND,3.5,2.0,106,1,13.9,highest_value
Deandre Ayton,LAL,4.0,1.5,102,1,13.9,highest_value
