player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Nique Clifford,,5.9,3.0,6,,29.3,highest_value
Stephon Castle,,8.9,0.8,26,,25.0,highest_value
Javon Small,,4.8,3.0,4,,24.2,highest_value
Olivier-Maxence Prosper,,4.3,3.0,2,,20.7,highest_value
Danny Wolf,,3.8,3.0,1,,19.2,highest_value
Will Riley,,3.7,3.0,378,,18.6,highest_value
Daeqwon Plowden,,3.5,3.0,1,,16.9,highest_value
Jarrett Allen,,5.1,1.2,68,,16.2,highest_value
Marvin Bagley III,,4.0,2.1,3,,16.2,highest_value
Day'Ron Sharpe,,4.0,2.2,6,,16.1,highest_value
Moses Moody,,3.9,2.1,17,,16.0,highest_value
Cason Wallace,,3.5,2.4,24,,15.3,highest_value
Zaccharie Risacher,,3.5,2.3,1,,15.0,highest_value
