player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Jaylin Williams,OKC,5.2,2.6,37,,24,highest_value
Shai Gilgeous-Alexander,OKC,9.5,,2900,,19.1,highest_value
Karl-Anthony Towns,NYK,6.7,0.6,666,,17.4,highest_value
Nolan Traoré,BKN,3.3,3.0,25,,16.6,highest_value
Tim Hardaway Jr.,DEN,4.2,1.9,46,,16.4,highest_value
Ochai Agbaji,BKN,3.8,3.0,3,,15.8,highest_value
Gui Santos,GSW,3.3,2.7,326,,15.7,highest_value
Kyle Filipowski,UTA,3.9,2.0,642,,15.5,highest_value
Dean Wade,CLE,3,3.0,1,,15,highest_value
Nikola Jokić,DEN,7.3,,5300,,14.6,highest_value
Brook Lopez,LAC,2.9,3.0,35,,14.4,highest_value
Derrick Jones Jr.,LAC,3.6,2.0,29,,14.4,highest_value
Ajay Mitchell,OKC,4.3,1.3,27,,14.1,highest_value
