player_name,team,actual_rs,drafts,total_value,source
LaMelo Ball,CHA,2.9,588,28.7,highest_value
Dylan Harper,POR,2.4,13,22.1,highest_value
Russell Westbrook,LAC,2.5,40,20.4,highest_value
Deandre Ayton,POR,2.2,6,20,highest_value
D'Angelo Russell,LAL,1,4,20,highest_value
Jaylen Brown,BOS,2.0,121,19.2,highest_value
Rudy Gobert,MIN,1.8,14,18.1,highest_value
Austin Reaves,LAL,1.7,1300,17.8,highest_value
Cole Anthony,ORL,2.6,277,17.2,highest_value
Pascal Siakam,TOR,1.6,709,16,highest_value
Jalen Duran,MEM,1.5,13,15.5,highest_value
Giannis Antetokounmpo,MIL,1.5,4600,15.4,highest_value
Dennis Schroder,TOR,1.5,58,15.3,highest_value
CJ McCollum,NOP,1.5,9,15.3,highest_value
