player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Cody Williams,,6,3.0,78,,30.1,highest_value
Gary Payton II,,4.3,3.0,11,,21.5,highest_value
DeMar DeRozan,SAC,6.8,0.9,627,,20.4,highest_value
Jakob Poeltl,,5.4,1.6,1,,19.3,highest_value
Bobby Portis,,5.2,1.6,21,,18.7,highest_value
Aaron Nesmith,IND,4.8,1.9,2,,18.6,highest_value
Killian Hayes,,3.3,3.0,7,,16.5,highest_value
Quinten Post,,3.3,3.0,4,,16.4,highest_value
Quentin Grimes,,4.2,1.7,470,,15.5,highest_value
Jarace Walker,,3.5,2.3,24,,15,highest_value
P.J. Washington,,4.5,1.5,4,,14.9,highest_value
Naji Marshall,,4.4,1.4,20,,14.9,highest_value
Alex Caruso,,2.9,3.0,2,,14.4,highest_value
Julius Randle,MIN,5.5,0.6,162,,14.2,highest_value
