player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Saddiq Bey,NOP,5.5,1.4,7,1,18.8,highest_value
Tre Johnson,WAS,4.0,2.7,10,1,18.6,highest_value
Naz Reid,MIN,5.6,1.3,31,1,18.5,highest_value
Nikola Jovic,MIA,4.2,2.3,1,2,17.2,highest_value
Caleb Love,POR,3.4,3.0,45,1,17.0,highest_value
Max Christie,DAL,3.8,2.4,47,1,16.5,highest_value
Cason Wallace,OKC,3.8,2.3,1,1,16.5,highest_value
Brandon Miller,CHA,5.1,1.2,11,1,16.3,highest_value
Spencer Jones,DEN,3.2,3.0,10,1,16.0,highest_value
Andrew Wiggins,GS,5.1,1.0,5,1,15.4,highest_value
Paolo Banchero,ORL,5.5,0.8,18,1,15.4,highest_value
Jaime Jaquez Jr.,MIA,4.8,1.1,20,1,14.9,highest_value
Collin Gillespie,PHX,4.7,1.2,35,1,14.9,highest_value
Daniel Gafford,DAL,3.3,2.5,44,1,14.8,highest_value
