player_name,team,actual_rs,drafts,total_value,source
Kawhi Leonard,LAC,5.1,311,25.6,highest_value
Jarrett Allen,MIA,4.8,21,23.8,highest_value
Stephen Curry,GSW,6,1900,20.9,highest_value
Nikola Jokic,DEN,4.2,1,20.9,highest_value
Kyshawn George,PHX,7.3,31,20.6,highest_value
Luke Kornet,UTA,4.1,1,20.3,highest_value
Ziaire Williams,UTA,4,1,20,highest_value
Cam Thomas,BKN,4.3,28,19.4,highest_value
James Harden,LAC,5.6,111,18,highest_value
Cole Anthony,ORL,4.7,1,17.6,highest_value
Kel'el Ware,PHX,3.4,13,16.8,highest_value
Luka Doncic,DAL,8.3,5000,16.5,highest_value
Kevin Durant,PHX,5.1,611,16.2,highest_value
Trey Murphy III,NOP,4.7,4,15.9,highest_value
