player_name,team,actual_rs,draft_count,actual_card_boost,avg_finish
Aaron Judge,NYY,-0.7,14600,,3
Max Fried,NYY,6.0,11200,,1
Logan Webb,SF,0.3,10400,,2
Rafael Devers,SF,0.1,7700,,4
Cody Bellinger,SF,0.2,6500,,5
Jazz Chisholm Jr.,NYY,0.9,4500,,5
Luis Arraez,SF,0.3,4500,,4
Ben Rice,NYY,0.2,4200,,5
Matt Chapman,SF,-0.2,3700,,4
Willy Adames,SF,-0.4,3500,,5
Jung Hoo Lee,SF,-0.6,3400,,5
Heliot Ramos,SF,0.1,2400,,5
Trent Grisham,NYY,2.0,2100,,5
Austin Wells,NYY,1.2,1900,,5
