player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Jaylin Williams,,37,5.2,2.6,,1,2026-03-18T05:03:38.820306+00:00
Shai Gilgeous-Alexander,,2900,9.5,,,2,2026-03-18T05:03:38.820306+00:00
Karl-Anthony Towns,,666,6.7,0.6,,3,2026-03-18T05:03:38.820306+00:00
Nolan Traoré,,25,3.3,3.0,,4,2026-03-18T05:03:38.820306+00:00
Tim Hardaway Jr.,,46,4.2,1.9,,5,2026-03-18T05:03:38.820306+00:00
Ochai Agbaji,,3,3.8,3.0,,6,2026-03-18T05:03:38.820306+00:00
Gui Santos,,326,3.3,2.7,,7,2026-03-18T05:03:38.820306+00:00
Kyle Filipowski,,642,3.9,2.0,,8,2026-03-18T05:03:38.820306+00:00
Dean Wade,,1,3,3.0,,9,2026-03-18T05:03:38.820306+00:00
Nikola Jokić,,5300,7.3,,,10,2026-03-18T05:03:38.820306+00:00
Brook Lopez,,35,2.9,3.0,,11,2026-03-18T05:03:38.820306+00:00
Derrick Jones Jr.,,29,3.6,2.0,,12,2026-03-18T05:03:38.820306+00:00
Ajay Mitchell,,27,4.3,1.3,,13,2026-03-18T05:03:38.820306+00:00
