player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Josh Hart,,47,7.6,1.1,,1,2026-03-18T05:03:38.822114+00:00
Bub Carrington,,6,4.7,2.4,,2,2026-03-18T05:03:38.822114+00:00
Jose Alvarado,,30,3.8,2.8,,3,2026-03-18T05:03:38.822114+00:00
Bones Hyland,,7,3.4,3.0,,4,2026-03-18T05:03:38.822114+00:00
Jalen Duren,,232,6.1,0.7,,5,2026-03-18T05:03:38.822114+00:00
Oso Ighodaro,,14,3.3,2.9,,6,2026-03-18T05:03:38.822114+00:00
OG Anunoby,,69,5.3,1.0,,7,2026-03-18T05:03:38.822114+00:00
Daniss Jenkins,,4,3.4,2.8,,8,2026-03-18T05:03:38.822114+00:00
Will Riley,,40,2.9,3.0,,9,2026-03-18T05:03:38.822114+00:00
Christian Braun,,4,3.7,1.8,,10,2026-03-18T05:03:38.822114+00:00
Kevin Porter Jr.,,26,5.1,0.6,,11,2026-03-18T05:03:38.822114+00:00
Jaden McDaniels,,52,3.9,1.3,,12,2026-03-18T05:03:38.822114+00:00
Pete Nance,,1,3,3.0,,13,2026-03-18T05:03:38.822114+00:00
