player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
OG Anunoby,,88,7.1,1.1,,1,2026-03-18T05:03:38.819518+00:00
Brook Lopez,,11,4.3,3.0,,2,2026-03-18T05:03:38.819518+00:00
Tyler Herro,,16,6.6,0.8,,3,2026-03-18T05:03:38.819518+00:00
Luka Dončić,,3300,8.3,,,4,2026-03-18T05:03:38.819518+00:00
Amen Thompson,,170,5.9,0.6,,5,2026-03-18T05:03:38.819518+00:00
Luke Kennard,,32,3,3.0,,6,2026-03-18T05:03:38.819518+00:00
Kon Knueppel,,905,5,0.8,,7,2026-03-18T05:03:38.819518+00:00
Grant Williams,,1,2.9,2.8,,8,2026-03-18T05:03:38.819518+00:00
Jordan Miller,,3,3,2.5,,9,2026-03-18T05:03:38.819518+00:00
Toumani Camara,,37,3.7,1.6,,10,2026-03-18T05:03:38.819518+00:00
Brandon Miller,,134,4.7,0.8,,11,2026-03-18T05:03:38.819518+00:00
Jay Huff,,66,3.2,2.0,,12,2026-03-18T05:03:38.819518+00:00
Julian Champagnie,,16,3.3,1.9,,13,2026-03-18T05:03:38.819518+00:00
