player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Jalen Green,,728,5.6,1.6,,1,2026-03-18T05:03:38.821369+00:00
Dejounte Murray,,231,6.7,1.1,,2,2026-03-18T05:03:38.821369+00:00
Brice Sensabaugh,,136,4.5,2.2,,3,2026-03-18T05:03:38.821369+00:00
Donovan Clingan,,186,5.4,1.0,,4,2026-03-18T05:03:38.821369+00:00
Jalen Duren,,128,5.7,0.7,,5,2026-03-18T05:03:38.821369+00:00
Anthony Edwards,,2000,6.5,0.3,,6,2026-03-18T05:03:38.821369+00:00
Gui Santos,,146,3.2,2.6,,7,2026-03-18T05:03:38.821369+00:00
Mitchell Robinson,,227,3.5,2.1,,8,2026-03-18T05:03:38.821369+00:00
Javon Small,,119,3.5,2.0,,9,2026-03-18T05:03:38.821369+00:00
Brandon Ingram,,382,5.3,0.7,,10,2026-03-18T05:03:38.821369+00:00
Jrue Holiday,,32,4.8,0.9,,11,2026-03-18T05:03:38.821369+00:00
Marcus Sasser,,2,2.7,3.0,,12,2026-03-18T05:03:38.821369+00:00
Brandin Podziemski,,207,3.9,1.4,,13,2026-03-18T05:03:38.821369+00:00
