player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Nickeil Alexander-Walker,,293,6.8,0.9,,1,2026-03-18T05:03:38.822030+00:00
Jordan Miller,,14,3.8,2.5,,2,2026-03-18T05:03:38.822030+00:00
Matas Buzelis,,172,5,1.3,,3,2026-03-18T05:03:38.822030+00:00
Naji Marshall,,41,4.8,1.3,,4,2026-03-18T05:03:38.822030+00:00
Gui Santos,,243,3.4,2.5,,5,2026-03-18T05:03:38.822030+00:00
De'Anthony Melton,,9,4.1,1.7,,6,2026-03-18T05:03:38.822030+00:00
Kristaps Porzingis,,28,5,1.0,,7,2026-03-18T05:03:38.822030+00:00
Gary Payton II,,60,2.9,3.0,,8,2026-03-18T05:03:38.822030+00:00
Oso Ighodaro,,5,3,2.9,,9,2026-03-18T05:03:38.822030+00:00
Will Riley,,13,2.9,3.0,,10,2026-03-18T05:03:38.822030+00:00
Karlo Matković,,1,2.8,3.0,,11,2026-03-18T05:03:38.822030+00:00
Devin Booker,,552,5.5,0.5,,12,2026-03-18T05:03:38.822030+00:00
Leonard Miller,,30,2.7,3.0,,13,2026-03-18T05:03:38.822030+00:00
