player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Jordan Clarkson,,5,3.9,3.0,,1,2026-03-18T05:03:38.820875+00:00
Keon Ellis,,18,3.8,3.0,,2,2026-03-18T05:03:38.820875+00:00
Kawhi Leonard,,1100,8.6,0.2,,3,2026-03-18T05:03:38.820875+00:00
Nique Clifford,,60,3.7,3.0,,4,2026-03-18T05:03:38.820875+00:00
DeMar DeRozan,,111,6,1.0,,5,2026-03-18T05:03:38.820875+00:00
Brice Sensabaugh,,33,4.2,2.3,,6,2026-03-18T05:03:38.820875+00:00
Desmond Bane,,374,6.5,0.7,,7,2026-03-18T05:03:38.820875+00:00
Tristan da Silva,,23,3.5,2.6,,8,2026-03-18T05:03:38.820875+00:00
Cameron Johnson,,4,3.9,2.1,,9,2026-03-18T05:03:38.820875+00:00
Jordan Miller,,13,3.3,2.6,,10,2026-03-18T05:03:38.820875+00:00
Christian Braun,,4,3.7,1.8,,11,2026-03-18T05:03:38.820875+00:00
Miles Bridges,,68,4.7,1.0,,12,2026-03-18T05:03:38.820875+00:00
Dejounte Murray,,45,4.2,1.3,,13,2026-03-18T05:03:38.820875+00:00
